ID,"Parent Product ID","WPML Translation ID","WPML Language Code",Title,Content,Excerpt,Sku,"Regular Price","Sale Price","Stock Status",Stock,Tags,Category,"SEO title","SEO Description",visible_roles,invisible_roles,"Tax Class","Tax Status","Superdaycare Price","Daycare Price","Daycare Staff Price","Parent Price","Parent Extra Price"
118,0,176,nl,"Dotties Maat 3","<p>Dotties Sensitive luiers Maat 3 (4-9kg) is dé gezonde luier tegen huismerkprijs! Dotties Sensitive luiers (34 stuks) bevatten 0% parabenen 0% chlorine 0% kleurstoffen 0% lotion 0% parfum Geen onnodige toevoegingen maar wel 100% comfort en kwaliteit. Dotties Sensitive luiers zijn huidvriendelijk en geschikt voor een zeer gevoelige babyhuid. Ze zijn hypoallergeen, Ph neutraal en dermatologisch getest. De luiers zijn gemaakt van zorgvuldig geselecteerde grondstoffen van verantwoorde afkomst en het productieafval wordt maximaal hergebruikt. De babyluiers geven de gevoelige babyhuid maximale bescherming gedurende 12u.</p>","<a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/billen/"" rel=""tag"">billen</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/dotties/"" rel=""tag"">dotties</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/dotties-maat-3/"" rel=""tag"">dotties maat 3</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/dotties-maat-drie/"" rel=""tag"">dotties maat drie</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/drie/"" rel=""tag"">drie</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/luier/"" rel=""tag"">luier</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/luiers/"" rel=""tag"">luiers</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/luiers-maat-3/"" rel=""tag"">luiers maat 3</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/maat-3/"" rel=""tag"">maat 3</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/maat-drie/"" rel=""tag"">maat drie</a>","Luiers Dotties Maat 3",4.54,,instock,183,"billen|dotties|dotties maat 3|dotties maat drie|drie|luier|luiers|luiers maat 3|maat 3|maat drie","Luiers &amp; Verschonen>Luiers","Dotties luier maat 3","Dotties luier maat 3, de gezonde luier aan huismerkprijs",administrator|daycare|parent|staff|parent_extra|superdaycare,,21%VAT,taxable,,4,4.3,4.54,3.4
119,0,177,nl,"Dotties Maat 4","<p>Dotties Sensitive luiers Maat 4 (7-18kg) is dé gezonde luier tegen huismerkprijs! Dotties Sensitive luiers (32 stuks) bevatten 0% parabenen 0% chlorine 0% kleurstoffen 0% lotion 0% parfum Geen onnodige toevoegingen maar wel 100% comfort en kwaliteit. Dotties Sensitive luiers zijn huidvriendelijk en geschikt voor een zeer gevoelige babyhuid. Ze zijn hypoallergeen, Ph neutraal en dermatologisch getest. De luiers zijn gemaakt van zorgvuldig geselecteerde grondstoffen van verantwoorde afkomst en het productieafval wordt maximaal hergebruikt. De babyluiers geven de gevoelige babyhuid maximale bescherming gedurende 12u.</p>",,"Luiers Dotties Maat 4",4.54,,instock,166,,"Luiers &amp; Verschonen>Luiers","Dotties luier maat 4","Dotties luier maat 4, de gezonde luier aan huismerkprijs",administrator|daycare|parent|staff|parent_extra|superdaycare,,21%VAT,taxable,,4,4.3,4.54,3.4
120,0,178,nl,"Dotties Maat 4 +","<p><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;"">Dotties Sensitive diapers Size 4+ (7-20kg) is the healthy diaper at home brand price! </span></span></span><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;"">Dotties Sensitive diapers (30 pieces) contain 0% parabens 0% chlorine 0% dyes 0% lotion 0% perfume No-unwanted additives but 100% comfort and quality. </span></span></span><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;"">Dotties Sensitive diapers are skin-friendly and suitable for a very sensitive baby skin. </span></span></span><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;"">They are hypoallergenic, Ph neutral and dermatologically tested. </span></span></span><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;"">The diapers are maximally reused. </span></span></span><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;"">The baby diapers give the sensitive baby skin maximum protection for 12 hours.</span></span></span></span></p>","<a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/4-plus/"" rel=""tag"">4 plus</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/4/"" rel=""tag"">4+</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/baby/"" rel=""tag"">baby</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/billen/"" rel=""tag"">billen</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/dotties/"" rel=""tag"">dotties</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/dotties-maat-4-plus/"" rel=""tag"">dotties maat 4 plus</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/dotties-maat-4/"" rel=""tag"">dotties maat 4+</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/luier/"" rel=""tag"">luier</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/luiers/"" rel=""tag"">luiers</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/luiers-maat-4-plus/"" rel=""tag"">luiers maat 4 plus</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/luiers-maat-4/"" rel=""tag"">luiers maat 4+</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/maat-4-plus/"" rel=""tag"">maat 4 plus</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/maat-4/"" rel=""tag"">maat 4+</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/single-pack/"" rel=""tag"">single pack</a>",luiers_dotties_maat_4_plus,4.54,,instock,167,"4 plus|4+|baby|billen|dotties|dotties maat 4 plus|dotties maat 4+|luier|luiers|luiers maat 4 plus|luiers maat 4+|maat 4 plus|maat 4+|single pack","Luiers &amp; Verschonen>Luiers","Dotties luier maat 4+","Dotties luier maat 4+, de gezonde luier aan huismerkprijs",administrator|daycare|parent|staff|parent_extra|superdaycare,,21%VAT,taxable,4,4,4.3,4.54,3.4
121,0,179,nl,"Dotties Maat 5","<p>Dotties Sensitive luiers Maat 5 (12-25kg) is dé gezonde luier tegen huismerkprijs! Dotties Sensitive luiers (28 stuks) bevatten 0% parabenen 0% chlorine 0% kleurstoffen 0% lotion 0% parfum Geen onnodige toevoegingen maar wel 100% comfort en kwaliteit. Dotties Sensitive luiers zijn huidvriendelijk en geschikt voor een zeer gevoelige babyhuid. Ze zijn hypoallergeen, Ph neutraal en dermatologisch getest. De luiers zijn gemaakt van zorgvuldig geselecteerde grondstoffen van verantwoorde afkomst en het productieafval wordt maximaal hergebruikt. De babyluiers geven de gevoelige babyhuid maximale bescherming gedurende 12u.</p>","<a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/billen/"" rel=""tag"">billen</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/dotties/"" rel=""tag"">dotties</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/dotties-maat-5/"" rel=""tag"">dotties maat 5</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/dotties-maat-vijf/"" rel=""tag"">dotties maat vijf</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/luier/"" rel=""tag"">luier</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/luiers/"" rel=""tag"">luiers</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/luiers-maat-5/"" rel=""tag"">luiers maat 5</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/luiers-maat-vijf/"" rel=""tag"">luiers maat vijf</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/maat-5/"" rel=""tag"">maat 5</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/maat-vijf/"" rel=""tag"">maat vijf</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/vijf/"" rel=""tag"">vijf</a>","Luiers Dotties Maat 5",4.54,,instock,143,"billen|dotties|dotties maat 5|dotties maat vijf|luier|luiers|luiers maat 5|luiers maat vijf|maat 5|maat vijf|vijf","Luiers &amp; Verschonen>Luiers","Dotties luier maat 5","Dotties luier maat 5, de gezonde luier aan huismerkprijs",administrator|daycare|parent|staff|parent_extra|superdaycare,,21%VAT,taxable,4,4,4.3,4.54,3.4
122,0,180,nl,"Dotties Maat 6","<p>Dotties Sensitive luiers Maat 6 (15+kg) is dé gezonde luier tegen huismerkprijs! Dotties Sensitive luiers (24 stuks) bevatten 0% parabenen 0% chlorine 0% kleurstoffen 0% lotion 0% parfum Geen onnodige toevoegingen maar wel 100% comfort en kwaliteit. Dotties Sensitive luiers zijn huidvriendelijk en geschikt voor een zeer gevoelige babyhuid. Ze zijn hypoallergeen, Ph neutraal en dermatologisch getest. De luiers zijn gemaakt van zorgvuldig geselecteerde grondstoffen van verantwoorde afkomst en het productieafval wordt maximaal hergebruikt. De babyluiers geven de gevoelige babyhuid maximale bescherming gedurende 12u.</p>",,"Luiers Dotties Maat 6",4.54,,instock,165,,"Luiers &amp; Verschonen>Luiers","Dotties luier maat 6","Dotties luier maat 6, de gezonde luier aan huismerkprijs",administrator|daycare|parent|staff|parent_extra|superdaycare,,21%VAT,taxable,,4,4.3,4.54,3.4
250,0,176,en,"Dotties Maat 3","<p><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;"">Dotties Sensitive diapers Size 3 (4-9kg) contain 34 pieces. </span><span style=""vertical-align: inherit;"">Dotties Sensitive is the healthy diaper at home brand price! </span><span style=""vertical-align: inherit;"">Dotties Sensitive diapers contain 0% parabens, 0% chlorine, 0% dyes, 0% lotion, 0% perfume and so no unnecessary additives so you get healthier baby buttocks. </span><span style=""vertical-align: inherit;"">Dotties Sensitive diapers are skin-friendly and suitable for very sensitive baby skin as they are hypoallergenic, Ph neutral and dermatologically tested. </span><span style=""vertical-align: inherit;"">The diapers are made from carefully selected raw materials of responsible origin and the production waste is maximally reused. </span><span style=""vertical-align: inherit;"">The baby diapers give the sensitive baby skin maximum protection for 12 hours, moreover, maximum absorption ensures lower product consumption and therefore less waste.</span></span></p>",,"Luiers Dotties Maat 3",4.54,,instock,183,,Care>Luiers,"Dotties luier maat 3","Dotties luier maat 3, de gezonde luier aan huismerkprijs",administrator|daycare|parent|staff|parent_extra,,21%VAT,taxable,,5,5.25,5.49,4.33
251,0,176,fr,"Dotties Maat 3","<p>Dotties Sensitive luiers Maat 3 (4-9kg) is dé gezonde luier tegen huismerkprijs! Dotties Sensitive luiers (34 stuks) bevatten 0% parabenen 0% chlorine 0% kleurstoffen 0% lotion 0% parfum Geen onnodige toevoegingen maar wel 100% comfort en kwaliteit. Dotties Sensitive luiers zijn huidvriendelijk en geschikt voor een zeer gevoelige babyhuid. Ze zijn hypoallergeen, Ph neutraal en dermatologisch getest. De luiers zijn gemaakt van zorgvuldig geselecteerde grondstoffen van verantwoorde afkomst en het productieafval wordt maximaal hergebruikt. De babyluiers geven de gevoelige babyhuid maximale bescherming gedurende 12u.</p>","<a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/billen/"" rel=""tag"">billen</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/dotties/"" rel=""tag"">dotties</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/dotties-maat-3/"" rel=""tag"">dotties maat 3</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/dotties-maat-drie/"" rel=""tag"">dotties maat drie</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/drie/"" rel=""tag"">drie</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/luier/"" rel=""tag"">luier</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/luiers/"" rel=""tag"">luiers</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/luiers-maat-3/"" rel=""tag"">luiers maat 3</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/maat-3/"" rel=""tag"">maat 3</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/maat-drie/"" rel=""tag"">maat drie</a>","Luiers Dotties Maat 3",4.54,,instock,183,"billen|dotties|dotties maat 3|dotties maat drie|drie|luier|luiers|luiers maat 3|maat 3|maat drie",Soin>Luiers,"Dotties luier maat 3","Dotties luier maat 3, de gezonde luier aan huismerkprijs",administrator|daycare|parent|staff|parent_extra|superdaycare,,21%VAT,taxable,,4,4.3,4.54,3.4
380,0,177,en,"Dotties Maat 4","<p>Dotties Sensitive luiers Maat 4 (7-18kg) is dé gezonde luier tegen huismerkprijs! Dotties Sensitive luiers (32 stuks) bevatten 0% parabenen 0% chlorine 0% kleurstoffen 0% lotion 0% parfum Geen onnodige toevoegingen maar wel 100% comfort en kwaliteit. Dotties Sensitive luiers zijn huidvriendelijk en geschikt voor een zeer gevoelige babyhuid. Ze zijn hypoallergeen, Ph neutraal en dermatologisch getest. De luiers zijn gemaakt van zorgvuldig geselecteerde grondstoffen van verantwoorde afkomst en het productieafval wordt maximaal hergebruikt. De babyluiers geven de gevoelige babyhuid maximale bescherming gedurende 12u.</p>",,"Luiers Dotties Maat 4",4.54,,instock,166,,Care>Luiers,"Dotties luier maat 4","Dotties luier maat 4, de gezonde luier aan huismerkprijs",administrator|daycare|parent|staff|parent_extra|superdaycare,,21%VAT,taxable,,4,4.3,4.54,3.4
381,0,177,fr,"Dotties Maat 4","<p>Dotties Sensitive luiers Maat 4 (7-18kg) is dé gezonde luier tegen huismerkprijs! Dotties Sensitive luiers (32 stuks) bevatten 0% parabenen 0% chlorine 0% kleurstoffen 0% lotion 0% parfum Geen onnodige toevoegingen maar wel 100% comfort en kwaliteit. Dotties Sensitive luiers zijn huidvriendelijk en geschikt voor een zeer gevoelige babyhuid. Ze zijn hypoallergeen, Ph neutraal en dermatologisch getest. De luiers zijn gemaakt van zorgvuldig geselecteerde grondstoffen van verantwoorde afkomst en het productieafval wordt maximaal hergebruikt. De babyluiers geven de gevoelige babyhuid maximale bescherming gedurende 12u.</p>",,"Luiers Dotties Maat 4",4.54,,instock,166,,Soin>Luiers,"Dotties luier maat 4","Dotties luier maat 4, de gezonde luier aan huismerkprijs",administrator|daycare|parent|staff|parent_extra|superdaycare,,21%VAT,taxable,,4,4.3,4.54,3.4
382,0,178,en,"Dotties Maat 4 +","<p><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;"">Dotties Sensitive diapers Size 4+ (7-20kg) is the healthy diaper at home brand price! </span></span></span><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;"">Dotties Sensitive diapers (30 pieces) contain 0% parabens 0% chlorine 0% dyes 0% lotion 0% perfume No-unwanted additives but 100% comfort and quality. </span></span></span><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;"">Dotties Sensitive diapers are skin-friendly and suitable for a very sensitive baby skin. </span></span></span><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;"">They are hypoallergenic, Ph neutral and dermatologically tested. </span></span></span><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;"">The diapers are maximally reused. </span></span></span><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;"">The baby diapers give the sensitive baby skin maximum protection for 12 hours.</span></span></span></span></p>","<a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/4-plus/"" rel=""tag"">4 plus</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/4/"" rel=""tag"">4+</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/baby/"" rel=""tag"">baby</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/billen/"" rel=""tag"">billen</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/dotties/"" rel=""tag"">dotties</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/dotties-maat-4-plus/"" rel=""tag"">dotties maat 4 plus</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/dotties-maat-4/"" rel=""tag"">dotties maat 4+</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/luier/"" rel=""tag"">luier</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/luiers/"" rel=""tag"">luiers</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/luiers-maat-4-plus/"" rel=""tag"">luiers maat 4 plus</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/luiers-maat-4/"" rel=""tag"">luiers maat 4+</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/maat-4-plus/"" rel=""tag"">maat 4 plus</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/maat-4/"" rel=""tag"">maat 4+</a><a href=""http://dev.thedesignfactory.ro/wingparent_staging/product-tag/single-pack/"" rel=""tag"">single pack</a>",luiers_dotties_maat_4_plus,4.54,,instock,167,"4 plus|4+|baby|billen|dotties|dotties maat 4 plus|dotties maat 4+|luier|luiers|luiers maat 4 plus|luiers maat 4+|maat 4 plus|maat 4+|single pack",Care>Luiers,"Dotties luier maat 4+","Dotties luier maat 4+, de gezonde luier aan huismerkprijs",administrator|daycare|parent|staff|parent_extra|superdaycare,,21%VAT,taxable,4,4,4.3,4.54,3.4
