ID,Parent Product ID,WPML Translation ID,WPML Language Code,Title,Content,Sku,Regular Price,Sale Price,Stock Status,Stock,Tags,Category,SEO title,SEO Description,visible_roles,invisible_roles,Tax Class,Tax Status,Superdaycare Price,Daycare Price,Daycare Staff Price,Parent Price,Parent Extra Price
118,0,176,nl,Dotties Maat 3,"<p>Dotties Sensitive luiers Maat 3 (4-9kg) is dé gezonde luier tegen huismerkprijs! Dotties Sensitive luiers (34 stuks) bevatten 0% parabenen 0% chlorine 0% kleurstoffen 0% lotion 0% parfum Geen onnodige toevoegingen maar wel 100% comfort en kwaliteit. Dotties Sensitive luiers zijn huidvriendelijk en geschikt voor een zeer gevoelige babyhuid. Ze zijn hypoallergeen, Ph neutraal en dermatologisch getest. De luiers zijn gemaakt van zorgvuldig geselecteerde grondstoffen van verantwoorde afkomst en het productieafval wordt maximaal hergebruikt. De babyluiers geven de gevoelige babyhuid maximale bescherming gedurende 12u.</p>",Luiers Dotties Maat 3,4.54,,instock,183,billen|dotties|dotties maat 3|dotties maat drie|drie|luier|luiers|luiers maat 3|maat 3|maat drie,Luiers &amp; Verschonen>Luiers,Dotties luier maat 3,"Dotties luier maat 3, de gezonde luier aan huismerkprijs",administrator|daycare|parent|staff|parent_extra|superdaycare,,21%VAT,taxable,,4,4.3,4.54,3.4
119,0,177,nl,Dotties Maat 4,"<p>Dotties Sensitive luiers Maat 4 (7-18kg) is dé gezonde luier tegen huismerkprijs! Dotties Sensitive luiers (32 stuks) bevatten 0% parabenen 0% chlorine 0% kleurstoffen 0% lotion 0% parfum Geen onnodige toevoegingen maar wel 100% comfort en kwaliteit. Dotties Sensitive luiers zijn huidvriendelijk en geschikt voor een zeer gevoelige babyhuid. Ze zijn hypoallergeen, Ph neutraal en dermatologisch getest. De luiers zijn gemaakt van zorgvuldig geselecteerde grondstoffen van verantwoorde afkomst en het productieafval wordt maximaal hergebruikt. De babyluiers geven de gevoelige babyhuid maximale bescherming gedurende 12u.</p>",Luiers Dotties Maat 4,4.54,,instock,166,,Luiers &amp; Verschonen>Luiers,Dotties luier maat 4,"Dotties luier maat 4, de gezonde luier aan huismerkprijs",administrator|daycare|parent|staff|parent_extra|superdaycare,,21%VAT,taxable,,4,4.3,4.54,3.4
120,0,178,nl,Dotties Maat 4 +,"<p><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;"">Dotties Sensitive diapers Size 4+ (7-20kg) is the healthy diaper at home brand price! </span></span></span><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;"">Dotties Sensitive diapers (30 pieces) contain 0% parabens 0% chlorine 0% dyes 0% lotion 0% perfume No-unwanted additives but 100% comfort and quality. </span></span></span><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;"">Dotties Sensitive diapers are skin-friendly and suitable for a very sensitive baby skin. </span></span></span><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;"">They are hypoallergenic, Ph neutral and dermatologically tested. </span></span></span><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;"">The diapers are maximally reused. </span></span></span><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;"">The baby diapers give the sensitive baby skin maximum protection for 12 hours.</span></span></span></span></p>",luiers_dotties_maat_4_plus,4.54,,instock,167,4 plus|4+|baby|billen|dotties|dotties maat 4 plus|dotties maat 4+|luier|luiers|luiers maat 4 plus|luiers maat 4+|maat 4 plus|maat 4+|single pack,Luiers &amp; Verschonen>Luiers,Dotties luier maat 4+,"Dotties luier maat 4+, de gezonde luier aan huismerkprijs",administrator|daycare|parent|staff|parent_extra|superdaycare,,21%VAT,taxable,4,4,4.3,4.54,3.4
121,0,179,nl,Dotties Maat 5,"<p>Dotties Sensitive luiers Maat 5 (12-25kg) is dé gezonde luier tegen huismerkprijs! Dotties Sensitive luiers (28 stuks) bevatten 0% parabenen 0% chlorine 0% kleurstoffen 0% lotion 0% parfum Geen onnodige toevoegingen maar wel 100% comfort en kwaliteit. Dotties Sensitive luiers zijn huidvriendelijk en geschikt voor een zeer gevoelige babyhuid. Ze zijn hypoallergeen, Ph neutraal en dermatologisch getest. De luiers zijn gemaakt van zorgvuldig geselecteerde grondstoffen van verantwoorde afkomst en het productieafval wordt maximaal hergebruikt. De babyluiers geven de gevoelige babyhuid maximale bescherming gedurende 12u.</p>",Luiers Dotties Maat 5,4.54,,instock,143,billen|dotties|dotties maat 5|dotties maat vijf|luier|luiers|luiers maat 5|luiers maat vijf|maat 5|maat vijf|vijf,Luiers &amp; Verschonen>Luiers,Dotties luier maat 5,"Dotties luier maat 5, de gezonde luier aan huismerkprijs",administrator|daycare|parent|staff|parent_extra|superdaycare,,21%VAT,taxable,4,4,4.3,4.54,3.4
122,0,180,nl,Dotties Maat 6,"<p>Dotties Sensitive luiers Maat 6 (15+kg) is dé gezonde luier tegen huismerkprijs! Dotties Sensitive luiers (24 stuks) bevatten 0% parabenen 0% chlorine 0% kleurstoffen 0% lotion 0% parfum Geen onnodige toevoegingen maar wel 100% comfort en kwaliteit. Dotties Sensitive luiers zijn huidvriendelijk en geschikt voor een zeer gevoelige babyhuid. Ze zijn hypoallergeen, Ph neutraal en dermatologisch getest. De luiers zijn gemaakt van zorgvuldig geselecteerde grondstoffen van verantwoorde afkomst en het productieafval wordt maximaal hergebruikt. De babyluiers geven de gevoelige babyhuid maximale bescherming gedurende 12u.</p>",Luiers Dotties Maat 6,4.54,,instock,165,,Luiers &amp; Verschonen>Luiers,Dotties luier maat 6,"Dotties luier maat 6, de gezonde luier aan huismerkprijs",administrator|daycare|parent|staff|parent_extra|superdaycare,,21%VAT,taxable,,4,4.3,4.54,3.4
469,0,234,nl,Dotties Maat 3 Volumepack,"<p>Dotties Sensitive luiers Maat 3 (4-9kg) is dé gezonde luier tegen huismerkprijs! Dotties Sensitive luiers (4x34 stuks) bevatten 0% parabenen 0% chlorine 0% kleurstoffen 0% lotion 0% parfum Geen onnodige toevoegingen maar wel 100% comfort en kwaliteit. Dotties Sensitive luiers zijn huidvriendelijk en geschikt voor een zeer gevoelige babyhuid. Ze zijn hypoallergeen, Ph neutraal en dermatologisch getest. De luiers zijn gemaakt van zorgvuldig geselecteerde grondstoffen van verantwoorde afkomst en het productieafval wordt maximaal hergebruikt. De babyluiers geven de gevoelige babyhuid maximale bescherming gedurende 12u.</p>",Luiers Dotties Maat 3-1,15,,instock,184,billen|dotties|dotties maat 3|dotties maat drie|drie|luier|luiers|luiers maat 3|maat 3|maat drie|volume|volumepack,Luiers &amp; Verschonen>Luiers,Dotties luier maat 3,"Dotties luier maat 3, de gezonde luier aan huismerkprijs",administrator|daycare|parent|staff|parent_extra|superdaycare,,21vat,taxable,15,15,15,15,15
471,0,235,nl,Dotties Maat 4 Volumepack,"<p>Dotties Sensitive luiers Maat 4 (7-18kg) is dé gezonde luier tegen huismerkprijs! Dotties Sensitive luiers (4 x 32 stuks) bevatten 0% parabenen 0% chlorine 0% kleurstoffen 0% lotion 0% parfum Geen onnodige toevoegingen maar wel 100% comfort en kwaliteit. Dotties Sensitive luiers zijn huidvriendelijk en geschikt voor een zeer gevoelige babyhuid. Ze zijn hypoallergeen, Ph neutraal en dermatologisch getest. De luiers zijn gemaakt van zorgvuldig geselecteerde grondstoffen van verantwoorde afkomst en het productieafval wordt maximaal hergebruikt. De babyluiers geven de gevoelige babyhuid maximale bescherming gedurende 12u.</p>",Luiers Dotties Maat 4-1,15.94,,instock,164,4+|billen|dotties|dotties maat 4+|dotties maat vier|luier|luiers|luiers maat 4+|maat vier|vier|volume|volumepack,Luiers &amp; Verschonen>Luiers,Dotties luier maat 4,"Dotties luier maat 4, de gezonde luier aan huismerkprijs",administrator|daycare|parent|staff|parent_extra|superdaycare,,21vat,taxable,15.94,15.94,15.94,15.94,15.94
474,0,236,nl,Dotties Maat 5 volumepack,"<p>Dotties Sensitive luiers Maat 5 (12-25kg) is dé gezonde luier tegen huismerkprijs! Dotties Sensitive luiers (4 x 28 stuks) bevatten 0% parabenen 0% chlorine 0% kleurstoffen 0% lotion 0% parfum Geen onnodige toevoegingen maar wel 100% comfort en kwaliteit. Dotties Sensitive luiers zijn huidvriendelijk en geschikt voor een zeer gevoelige babyhuid. Ze zijn hypoallergeen, Ph neutraal en dermatologisch getest. De luiers zijn gemaakt van zorgvuldig geselecteerde grondstoffen van verantwoorde afkomst en het productieafval wordt maximaal hergebruikt. De babyluiers geven de gevoelige babyhuid maximale bescherming gedurende 12u.</p>",Luiers Dotties Maat 5-1,17.68,,instock,141,billen|dotties|dotties maat 5|dotties maat vijf|luier|luiers|luiers maat 5|luiers maat vijf|maat 5|maat vijf|vijf|volume|volumepack,Luiers &amp; Verschonen>Luiers,Dotties luier maat 5,"Dotties luier maat 5, de gezonde luier aan huismerkprijs",administrator|daycare|parent|staff|parent_extra|superdaycare,,21vat,taxable,,17.68,17.68,17.68,17.68
478,0,237,nl,Dotties Maat 4+ Volumepack,"<p>Dotties Sensitive luiers Maat 4+ (7-20kg) is dé gezonde luier tegen huismerkprijs! Dotties Sensitive luiers (4 x 30 stuks) bevatten 0% parabenen 0% chlorine 0% kleurstoffen 0% lotion 0% parfum Geen onnodige toevoegingen maar wel 100% comfort en kwaliteit. Dotties Sensitive luiers zijn huidvriendelijk en geschikt voor een zeer gevoelige babyhuid. Ze zijn hypoallergeen, Ph neutraal en dermatologisch getest. De luiers zijn gemaakt van zorgvuldig geselecteerde grondstoffen van verantwoorde afkomst en het productieafval wordt maximaal hergebruikt. De babyluiers geven de gevoelige babyhuid maximale bescherming gedurende 12u.</p>",Luiers Dotties Maat 4+-1,17.43,,instock,167,4 plus|4+|billen|dotties|dotties maat 4 plus|dotties maat 4+|luier|luiers|luiers maat 4 plus|luiers maat 4+|maat 4 plus|maat 4+|plus|volume|volumepack,Luiers &amp; Verschonen>Luiers,Dotties luier maat 4+,"Dotties luier maat 4+, de gezonde luier aan huismerkprijs",administrator|daycare|parent|staff|parent_extra|superdaycare,,21vat,taxable,,17.43,17.43,17.43,17.43
480,0,238,nl,Dotties Maat 6 Volumepack,"<p>Dotties Sensitive luiers Maat 6 (15+kg) is dé gezonde luier tegen huismerkprijs! Dotties Sensitive luiers (4 x 24 stuks) bevatten 0% parabenen 0% chlorine 0% kleurstoffen 0% lotion 0% parfum Geen onnodige toevoegingen maar wel 100% comfort en kwaliteit. Dotties Sensitive luiers zijn huidvriendelijk en geschikt voor een zeer gevoelige babyhuid. Ze zijn hypoallergeen, Ph neutraal en dermatologisch getest. De luiers zijn gemaakt van zorgvuldig geselecteerde grondstoffen van verantwoorde afkomst en het productieafval wordt maximaal hergebruikt. De babyluiers geven de gevoelige babyhuid maximale bescherming gedurende 12u.</p>",Luiers Dotties Maat 6-1,17.76,,instock,154,6|billen|dotties|dotties maat 6|luier|luiers|maat 6|maat 6 luiers maat 6|volume|volumepack|zes,Luiers &amp; Verschonen>Luiers,Dotties luier maat 6,"Dotties luier maat 6, de gezonde luier aan huismerkprijs",administrator|daycare|parent|staff|parent_extra|superdaycare,,21vat,taxable,,17.76,17.76,17.76,17.76
